CPT,UTIL,UTIL,UTIL,UTIL,UTIL,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,WR,Zamari McKenley (31249708),Zamari McKenley,31249708,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,RB,Anthony Rubio (31249709),Anthony Rubio,31249709,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Jackson West (31249710),Jackson West,31249710,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Jerrale Powers (31249711),Jerrale Powers,31249711,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Jimmy Casey (31249712),Jimmy Casey,31249712,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,0
,,,,,,,WR,Daniel Cross (31249713),Daniel Cross,31249713,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,0
,,,,,,,WR,Darion Williamson (31249714),Darion Williamson,31249714,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,FSU,3.65
,,,,,,,WR,Taylor Spierto (31249715),Taylor Spierto,31249715,CPT,1500,FSU@UF 11/25/2023 07:00PM ET,UF,1.85
,,,,,,,WR,Marcus Burke (31249592),Marcus Burke,31249592,UTIL,1400,FSU@UF 11/25/2023 07:00PM ET,UF,3.95
,,,,,,,RB,Rodney Hill (31249593),Rodney Hill,31249593,UTIL,1400,FSU@UF 11/25/2023 07:00PM ET,FSU,3.93
,,,,,,,WR,Andy Jean (31249594),Andy Jean,31249594,UTIL,1400,FSU@UF 11/25/2023 07:00PM ET,UF,5.07
,,,,,,,WR,Kyle Morlock (31249595),Kyle Morlock,31249595,UTIL,1400,FSU@UF 11/25/2023 07:00PM ET,FSU,4.45
,,,,,,,WR,Vandrevius Jacobs (31249596),Vandrevius Jacobs,31249596,UTIL,1200,FSU@UF 11/25/2023 07:00PM ET,FSU,5
